dt,dt_iso,timezone,city_name,lat,lon,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
1661990400,2022-09-01 00:00:00 +0000 UTC,-14400,1133 Manhattan Ave,40.737061,-73.95555,299.25,10000,282.18,299.25,297.69,300.14,1010,,,34,6.17,310,,,,,,0,800,Clear,sky is clear,01n
1661994000,2022-09-01 01:00:00 +0000 UTC,-14400,1133 Manhattan Ave,40.737061,-73.95555,298.42,10000,283.1,297.99,297.14,299.41,1011,,,38,3.6,300,,,,,,0,800,Clear,sky is clear,01n
1661997600,2022-09-01 02:00:00 +0000 UTC,-14400,1133 Manhattan Ave,40.737061,-73.95555,297.99,10000,283.48,297.57,296.15,299.38,1011,,,40,4.12,250,,,,,,0,800,Clear,sky is clear,01n
1662001200,2022-09-01 03:00:00 +0000 UTC,-14400,1133 Manhattan Ave,40.737061,-73.95555,297.7,10000,283.95,297.31,296.52,299.14,1011,,,42,5.66,260,,,,,,0,800,Clear,sky is clear,01n
1662004800,2022-09-01 04:00:00 +0000 UTC,-14400,1133 Manhattan Ave,40.737061,-73.95555,297.42,10000,284.74,297.08,295.97,299.14,1011,,,45,6.17,270,11.32,,,,,0,800,Clear,sky is clear,01n
1662008400,2022-09-01 05:00:00 +0000 UTC,-14400,1133 Manhattan Ave,40.737061,-73.95555,296.77,10000,284.48,296.39,295.41,298.27,1011,,,46,5.36,263,8.49,,,,,0,800,Clear,sky is clear,01n
1662012000,2022-09-01 06:00:00 +0000 UTC,-14400,1133 Manhattan Ave,40.737061,-73.95555,296.08,10000,284.81,295.71,294.86,297.71,1011,,,49,5.14,260,,,,,,0,800,Clear,sky is clear,01n
1662015600,2022-09-01 07:00:00 +0000 UTC,-14400,1133 Manhattan Ave,40.737061,-73.95555,295.68,10000,285.34,295.35,294.3,297.16,1011,,,52,5.36,360,8.94,,,,,0,800,Clear,sky is clear,01n
1662019200,2022-09-01 08:00:00 +0000 UTC,-14400,1133 Manhattan Ave,40.737061,-73.95555,294.91,10000,285.75,294.6,293.75,296.6,1011,,,56,4.47,272,8.94,,,,,0,800,Clear,sky is clear,01n
1662022800,2022-09-01 09:00:00 +0000 UTC,-14400,1133 Manhattan Ave,40.737061,-73.95555,294.91,10000,285.75,294.6,293.19,296.6,1012,,,56,5.81,263,9.39,,,,,0,800,Clear,sky is clear,01n
1662026400,2022-09-01 10:00:00 +0000 UTC,-14400,1133 Manhattan Ave,40.737061,-73.95555,294.42,10000,286.09,294.14,293.19,296.14,1012,,,59,6.26,360,9.39,,,,,0,800,Clear,sky is clear,01n
1662030000,2022-09-01 11:00:00 +0000 UTC,-14400,1133 Manhattan Ave,40.737061,-73.95555,294.2,10000,286.4,293.95,292.69,295.49,1013,,,61,6.71,290,,,,,,0,800,Clear,sky is clear,01d
1662033600,2022-09-01 12:00:00 +0000 UTC,-14400,1133 Manhattan Ave,40.737061,-73.95555,295.5,10000,287.11,295.33,294.26,296.52,1013,,,59,4.63,300,,,,,,0,800,Clear,sky is clear,01d
1662037200,2022-09-01 13:00:00 +0000 UTC,-14400,1133 Manhattan Ave,40.737061,-73.95555,296.8,10000,287.51,296.68,295.36,298.14,1013,,,56,3.09,280,,,,,,0,800,Clear,sky is clear,01d
1662040800,2022-09-01 14:00:00 +0000 UTC,-14400,1133 Manhattan Ave,40.737061,-73.95555,297.69,10000,286.9,297.53,296.47,299.86,1013,,,51,5.14,270,,,,,,0,800,Clear,sky is clear,01d
1662044400,2022-09-01 15:00:00 +0000 UTC,-14400,1133 Manhattan Ave,40.737061,-73.95555,299.34,10000,286.48,299.34,298.14,300.41,1013,,,45,8.05,301,12.96,,,,,0,800,Clear,sky is clear,01d
1662048000,2022-09-01 16:00:00 +0000 UTC,-14400,1133 Manhattan Ave,40.737061,-73.95555,300.69,10000,285.51,300.37,299.83,301.48,1014,,,39,6.17,270,8.23,,,,,0,800,Clear,sky is clear,01d
1662051600,2022-09-01 17:00:00 +0000 UTC,-14400,1133 Manhattan Ave,40.737061,-73.95555,301.36,10000,284.89,300.73,299.81,302.58,1013,,,36,8.23,290,10.8,,,,,0,800,Clear,sky is clear,01d
1662055200,2022-09-01 18:00:00 +0000 UTC,-14400,1133 Manhattan Ave,40.737061,-73.95555,302.52,10000,283.65,301.4,300.94,303.71,1013,,,31,7.72,320,10.29,,,,,0,800,Clear,sky is clear,01d
1662058800,2022-09-01 19:00:00 +0000 UTC,-14400,1133 Manhattan Ave,40.737061,-73.95555,302.9,10000,282.98,301.61,302.03,304.3,1013,,,29,7.72,310,10.29,,,,,0,800,Clear,sky is clear,01d
1662062400,2022-09-01 20:00:00 +0000 UTC,-14400,1133 Manhattan Ave,40.737061,-73.95555,303.06,10000,283.62,301.82,302.03,304.26,1013,,,30,7.6,293,10.73,,,,,0,800,Clear,sky is clear,01d
1662066000,2022-09-01 21:00:00 +0000 UTC,-14400,1133 Manhattan Ave,40.737061,-73.95555,302.85,10000,282.93,301.56,302.03,303.86,1013,,,29,6.71,320,,,,,,0,800,Clear,sky is clear,01d
1662069600,2022-09-01 22:00:00 +0000 UTC,-14400,1133 Manhattan Ave,40.737061,-73.95555,302.31,10000,281.95,301.04,300.92,303.86,1013,,,28,6.26,20,9.39,,,,,0,800,Clear,sky is clear,01d
1662073200,2022-09-01 23:00:00 +0000 UTC,-14400,1133 Manhattan Ave,40.737061,-73.95555,301.04,10000,280.33,300.04,299.86,302.19,1013,,,27,7.2,330,,,,,,0,800,Clear,sky is clear,01d
1662076800,2022-09-02 00:00:00 +0000 UTC,-14400,1133 Manhattan Ave,40.737061,-73.95555,299.53,10000,281.53,299.53,298.15,300.52,1014,,,32,6.17,330,,,,,,0,800,Clear,sky is clear,01n
1662080400,2022-09-02 01:00:00 +0000 UTC,-14400,1133 Manhattan Ave,40.737061,-73.95555,298.77,10000,282.19,298.3,297.63,299.41,1016,,,35,4.63,340,,,,,,0,800,Clear,sky is clear,01n
1662084000,2022-09-02 02:00:00 +0000 UTC,-14400,1133 Manhattan Ave,40.737061,-73.95555,297.55,10000,282.33,297.04,296.52,298.73,1017,,,38,4.63,350,,,,,,0,800,Clear,sky is clear,01n
1662087600,2022-09-02 03:00:00 +0000 UTC,-14400,1133 Manhattan Ave,40.737061,-73.95555,296.39,10000,282.42,295.84,295.55,297.61,1017,,,41,4.92,11,8.05,,,,,0,800,Clear,sky is clear,01n
1662091200,2022-09-02 04:00:00 +0000 UTC,-14400,1133 Manhattan Ave,40.737061,-73.95555,295.26,10000,283.11,294.73,293.81,297.06,1018,,,46,5.66,50,,,,,,0,800,Clear,sky is clear,01n
1662094800,2022-09-02 05:00:00 +0000 UTC,-14400,1133 Manhattan Ave,40.737061,-73.95555,294.13,10000,283.32,293.59,292.69,295.52,1019,,,50,6.71,40,,,,,,0,800,Clear,sky is clear,01n
1662098400,2022-09-02 06:00:00 +0000 UTC,-14400,1133 Manhattan Ave,40.737061,-73.95555,292.87,10000,283.03,292.28,291.15,294.27,1020,,,53,6.71,40,,,,,,0,800,Clear,sky is clear,01n
1662102000,2022-09-02 07:00:00 +0000 UTC,-14400,1133 Manhattan Ave,40.737061,-73.95555,292.16,10000,282.37,291.5,290.47,293.3,1020,,,53,7.6,41,9.83,,,,,0,800,Clear,sky is clear,01n
1662105600,2022-09-02 08:00:00 +0000 UTC,-14400,1133 Manhattan Ave,40.737061,-73.95555,291.34,10000,281.89,290.62,289.92,292.6,1021,,,54,7.6,64,10.28,,,,,0,800,Clear,sky is clear,01n
1662109200,2022-09-02 09:00:00 +0000 UTC,-14400,1133 Manhattan Ave,40.737061,-73.95555,290.96,10000,281.54,290.21,289.15,292.03,1021,,,54,7.6,75,10.73,,,,,0,800,Clear,sky is clear,01n
1662112800,2022-09-02 10:00:00 +0000 UTC,-14400,1133 Manhattan Ave,40.737061,-73.95555,290.46,10000,282.13,289.76,288.89,292.61,1022,,,58,4.63,40,,,,,,0,800,Clear,sky is clear,01n
1662116400,2022-09-02 11:00:00 +0000 UTC,-14400,1133 Manhattan Ave,40.737061,-73.95555,290.31,10000,282.49,289.65,288.81,292.61,1023,,,60,5.36,49,7.6,,,,,0,800,Clear,sky is clear,01d
1662120000,2022-09-02 12:00:00 +0000 UTC,-14400,1133 Manhattan Ave,40.737061,-73.95555,291.52,10000,283.63,290.98,290,293.14,1024,,,60,6.26,56,8.49,,,,,0,800,Clear,sky is clear,01d
1662123600,2022-09-02 13:00:00 +0000 UTC,-14400,1133 Manhattan Ave,40.737061,-73.95555,292.8,10000,285.08,292.41,292.03,294.41,1024,,,61,5.14,60,,,,,,0,800,Clear,sky is clear,01d
1662127200,2022-09-02 14:00:00 +0000 UTC,-14400,1133 Manhattan Ave,40.737061,-73.95555,293.45,10000,284.66,293.02,292.14,296.08,1025,,,57,5.14,40,,,,,,0,800,Clear,sky is clear,01d
1662130800,2022-09-02 15:00:00 +0000 UTC,-14400,1133 Manhattan Ave,40.737061,-73.95555,294.87,10000,285.16,294.51,293.7,297.74,1025,,,54,6.17,50,,,,,,0,800,Clear,sky is clear,01d
1662134400,2022-09-02 16:00:00 +0000 UTC,-14400,1133 Manhattan Ave,40.737061,-73.95555,296.07,10000,285.41,295.75,294.81,298.14,1025,,,51,5.66,40,,,,,,0,800,Clear,sky is clear,01d
1662138000,2022-09-02 17:00:00 +0000 UTC,-14400,1133 Manhattan Ave,40.737061,-73.95555,297.53,10000,286.14,297.3,295.36,299.41,1024,,,49,5.66,50,,,,,,0,800,Clear,sky is clear,01d
1662141600,2022-09-02 18:00:00 +0000 UTC,-14400,1133 Manhattan Ave,40.737061,-73.95555,298.62,10000,287.13,298.5,295.94,300.04,1025,,,49,5.14,50,,,,,,0,800,Clear,sky is clear,01d
1662145200,2022-09-02 19:00:00 +0000 UTC,-14400,1133 Manhattan Ave,40.737061,-73.95555,298.16,10000,287.02,298.02,295.92,300.59,1024,,,50,4.92,50,,,,,,0,800,Clear,sky is clear,01d
1662148800,2022-09-02 20:00:00 +0000 UTC,-14400,1133 Manhattan Ave,40.737061,-73.95555,298.09,10000,287.26,297.97,295.92,300.04,1024,,,51,4.12,40,,,,,,20,801,Clouds,few clouds,02d
1662152400,2022-09-02 21:00:00 +0000 UTC,-14400,1133 Manhattan Ave,40.737061,-73.95555,297.74,10000,287.24,297.61,295.47,299.41,1024,,,52,5.36,173,7.6,,,,,0,800,Clear,sky is clear,01d
1662156000,2022-09-02 22:00:00 +0000 UTC,-14400,1133 Manhattan Ave,40.737061,-73.95555,297.3,10000,287.98,297.23,295.41,298.71,1024,,,56,5.36,160,6.26,,,,,0,800,Clear,sky is clear,01d
1662159600,2022-09-02 23:00:00 +0000 UTC,-14400,1133 Manhattan Ave,40.737061,-73.95555,296.12,10000,288.2,296.07,294.3,297.04,1024,,,61,5.14,180,,,,,,0,800,Clear,sky is clear,01d
1662163200,2022-09-03 00:00:00 +0000 UTC,-14400,1133 Manhattan Ave,40.737061,-73.95555,295.15,10000,288.03,295.08,294.3,295.93,1024,,,64,4.47,145,6.71,,,,,0,800,Clear,sky is clear,01n
1662166800,2022-09-03 01:00:00 +0000 UTC,-14400,1133 Manhattan Ave,40.737061,-73.95555,294.7,10000,288.32,294.66,293.7,295.59,1025,,,67,4.02,129,5.36,,,,,0,800,Clear,sky is clear,01n
1662170400,2022-09-03 02:00:00 +0000 UTC,-14400,1133 Manhattan Ave,40.737061,-73.95555,294.5,10000,288.81,294.52,293.19,295.04,1025,,,70,4.92,117,6.71,,,,,0,800,Clear,sky is clear,01n
1662174000,2022-09-03 03:00:00 +0000 UTC,-14400,1133 Manhattan Ave,40.737061,-73.95555,293.79,10000,288.35,293.76,292.58,294.97,1025,,,71,3.58,360,4.92,,,,,0,800,Clear,sky is clear,01n
1662177600,2022-09-03 04:00:00 +0000 UTC,-14400,1133 Manhattan Ave,40.737061,-73.95555,293.63,10000,288.41,293.61,292.14,295.39,1025,,,72,3.13,360,5.36,,,,,0,800,Clear,sky is clear,01n
1662181200,2022-09-03 05:00:00 +0000 UTC,-14400,1133 Manhattan Ave,40.737061,-73.95555,293.26,10000,288.48,293.26,291.15,294.41,1025,,,74,2.06,140,,,,,,0,800,Clear,sky is clear,01n
